"pickup_zone","dropoff_zone","time_interval","pickup_lon","pickup_lat","dropoff_lon","dropoff_lat","n","color"
"East Harlem North","East Harlem North",18,-73.9464769,40.8115504,-73.9464769,40.8115504,4532,"green"
"East Harlem North","East Harlem North",16,-73.9464769,40.8115504,-73.9464769,40.8115504,4276,"green"
"Central Harlem","East Harlem North",16,-73.9538699,40.7988378,-73.9464769,40.8115504,3788,"green"
"East Harlem North","East Harlem North",8,-73.9464769,40.8115504,-73.9464769,40.8115504,3686,"green"
"Central Harlem","East Harlem North",18,-73.9538699,40.7988378,-73.9464769,40.8115504,3668,"green"
"East Harlem North","East Harlem North",20,-73.9464769,40.8115504,-73.9464769,40.8115504,3666,"green"
"East Harlem North","East Harlem North",14,-73.9464769,40.8115504,-73.9464769,40.8115504,3615,"green"
"East Harlem North","East Harlem North",10,-73.9464769,40.8115504,-73.9464769,40.8115504,3331,"green"
"East Harlem North","East Harlem North",12,-73.9464769,40.8115504,-73.9464769,40.8115504,3206,"green"
"Central Harlem","East Harlem North",14,-73.9538699,40.7988378,-73.9464769,40.8115504,2976,"green"
"East Harlem North","Central Harlem",18,-73.9464769,40.8115504,-73.9538699,40.7988378,2911,"green"
"Central Harlem","Central Harlem",16,-73.9538699,40.7988378,-73.9538699,40.7988378,2843,"green"
"East Harlem North","East Harlem North",22,-73.9464769,40.8115504,-73.9464769,40.8115504,2710,"green"
"East Harlem North","Central Harlem",16,-73.9464769,40.8115504,-73.9538699,40.7988378,2583,"green"
"Central Harlem","East Harlem North",8,-73.9538699,40.7988378,-73.9464769,40.8115504,2577,"green"
"Central Harlem","Central Harlem",18,-73.9538699,40.7988378,-73.9538699,40.7988378,2482,"green"
"Central Harlem","East Harlem North",12,-73.9538699,40.7988378,-73.9464769,40.8115504,2474,"green"
"Central Harlem","East Harlem North",10,-73.9538699,40.7988378,-73.9464769,40.8115504,2456,"green"
"Central Harlem","East Harlem North",20,-73.9538699,40.7988378,-73.9464769,40.8115504,2411,"green"
"Central Harlem","Central Harlem",14,-73.9538699,40.7988378,-73.9538699,40.7988378,2409,"green"
"East Harlem North","Central Harlem",14,-73.9464769,40.8115504,-73.9538699,40.7988378,2366,"green"
"East Harlem North","Central Harlem",8,-73.9464769,40.8115504,-73.9538699,40.7988378,2351,"green"
"East Harlem North","Central Harlem",20,-73.9464769,40.8115504,-73.9538699,40.7988378,2259,"green"
"Central Harlem","Central Harlem",8,-73.9538699,40.7988378,-73.9538699,40.7988378,2232,"green"
"Astoria","Astoria",18,-73.9234619,40.7643574,-73.9234619,40.7643574,2126,"green"
"Central Harlem","Central Harlem",12,-73.9538699,40.7988378,-73.9538699,40.7988378,2081,"green"
"Astoria","Steinway",18,-73.9234619,40.7643574,-73.9124667,40.7669996,2078,"green"
"Central Harlem","Central Harlem",10,-73.9538699,40.7988378,-73.9538699,40.7988378,2064,"green"
"East Harlem North","Hamilton Heights",18,-73.9464769,40.8115504,-73.9496079,40.8259597,2014,"green"
"East Harlem North","Central Harlem",12,-73.9464769,40.8115504,-73.9538699,40.7988378,2011,"green"
"Astoria","Astoria",20,-73.9234619,40.7643574,-73.9234619,40.7643574,1936,"green"
"East Harlem North","Central Harlem",10,-73.9464769,40.8115504,-73.9538699,40.7988378,1934,"green"
"Astoria","Steinway",20,-73.9234619,40.7643574,-73.9124667,40.7669996,1924,"green"
"Astoria","Steinway",22,-73.9234619,40.7643574,-73.9124667,40.7669996,1916,"green"
"Astoria","Astoria",16,-73.9234619,40.7643574,-73.9234619,40.7643574,1912,"green"
"Elmhurst/Maspeth","Jackson Heights",22,-73.8932385,40.7395973,-73.8830701,40.7556818,1877,"green"
"East Harlem North","Hamilton Heights",20,-73.9464769,40.8115504,-73.9496079,40.8259597,1812,"green"
"Elmhurst/Maspeth","Jackson Heights",0,-73.8932385,40.7395973,-73.8830701,40.7556818,1811,"green"
"Central Harlem","Central Harlem",20,-73.9538699,40.7988378,-73.9538699,40.7988378,1802,"green"
"East Harlem North","Hamilton Heights",16,-73.9464769,40.8115504,-73.9496079,40.8259597,1793,"green"
"East Harlem North","East Harlem North",0,-73.9464769,40.8115504,-73.9464769,40.8115504,1770,"green"
"Central Harlem","Yorkville East",16,-73.9538699,40.7988378,-73.9492079,40.7762231,1767,"green"
"Central Harlem","East Harlem North",22,-73.9538699,40.7988378,-73.9464769,40.8115504,1736,"green"
"East Harlem North","Central Harlem",22,-73.9464769,40.8115504,-73.9538699,40.7988378,1732,"green"
"Central Harlem","Yorkville East",18,-73.9538699,40.7988378,-73.9492079,40.7762231,1714,"green"
"Astoria","Astoria",22,-73.9234619,40.7643574,-73.9234619,40.7643574,1699,"green"
"Elmhurst/Maspeth","Jackson Heights",18,-73.8932385,40.7395973,-73.8830701,40.7556818,1614,"green"
"Steinway","Steinway",18,-73.9124667,40.7669996,-73.9124667,40.7669996,1576,"green"
"Williamsburg (North Side)","Greenpoint",22,-73.9634429,40.7190424,-73.9418603,40.7245448,1569,"green"
"Astoria","Steinway",16,-73.9234619,40.7643574,-73.9124667,40.7669996,1560,"green"
"Steinway","Steinway",20,-73.9124667,40.7669996,-73.9124667,40.7669996,1559,"green"
"Central Harlem","Bloomingdale",16,-73.9538699,40.7988378,-73.9697795,40.7988958,1554,"green"
"East Harlem North","Morningside Heights",8,-73.9464769,40.8115504,-73.9624327,40.8089564,1551,"green"
"Elmhurst/Maspeth","Jackson Heights",20,-73.8932385,40.7395973,-73.8830701,40.7556818,1536,"green"
"East Harlem North","Hamilton Heights",22,-73.9464769,40.8115504,-73.9496079,40.8259597,1530,"green"
"Astoria","Steinway",0,-73.9234619,40.7643574,-73.9124667,40.7669996,1527,"green"
"Williamsburg (North Side)","Williamsburg (South Side)",0,-73.9634429,40.7190424,-73.9517335,40.7079936,1527,"green"
