"dropoff_zone","pickup_zone","time_interval","pickup_lon","pickup_lat","dropoff_lon","dropoff_lat","color","n","pickup_borough","dropoff_borough"
"Alphabet City","Little Italy/NoLiTa",0,-73.9954909,40.7228971,-73.9785952,40.7260601,"yellow",580,"Manhattan","Manhattan"
"Alphabet City","Financial District North",22,-74.0112764,40.7074909,-73.9785952,40.7260601,"yellow",120,"Manhattan","Manhattan"
"Alphabet City","Upper East Side North",18,-73.9565551,40.7735649,-73.9785952,40.7260601,"yellow",140,"Manhattan","Manhattan"
"Alphabet City","Lower East Side",8,-73.9842724,40.715033,-73.9785952,40.7260601,"yellow",130,"Manhattan","Manhattan"
"Alphabet City","Stuy Town/Peter Cooper Village",12,-73.9778494,40.7316903,-73.9785952,40.7260601,"yellow",120,"Manhattan","Manhattan"
"Alphabet City","Stuy Town/Peter Cooper Village",8,-73.9778494,40.7316903,-73.9785952,40.7260601,"yellow",100,"Manhattan","Manhattan"
"Alphabet City","Financial District North",14,-74.0112764,40.7074909,-73.9785952,40.7260601,"yellow",100,"Manhattan","Manhattan"
"Alphabet City","Lower East Side",12,-73.9842724,40.715033,-73.9785952,40.7260601,"yellow",180,"Manhattan","Manhattan"
"Alphabet City","Stuy Town/Peter Cooper Village",20,-73.9778494,40.7316903,-73.9785952,40.7260601,"yellow",330,"Manhattan","Manhattan"
"Alphabet City","Stuyvesant Heights",10,-73.9880663,40.7299553,-73.9785952,40.7260601,"yellow",320,"Brooklyn","Manhattan"
"Alphabet City","JFK Airport",18,-73.7781391,40.6413111,-73.9785952,40.7260601,"yellow",110,"Queens","Manhattan"
"Alphabet City","Penn Station/Madison Sq West",0,-73.9880662,40.7433858,-73.9785952,40.7260601,"yellow",290,"Manhattan","Manhattan"
"Alphabet City","Murray Hill",12,-73.9756567,40.7478792,-73.9785952,40.7260601,"yellow",110,"Manhattan","Manhattan"
"Alphabet City","Midtown North",20,-73.9840195,40.7549309,-73.9785952,40.7260601,"yellow",170,"Manhattan","Manhattan"
"Alphabet City","Murray Hill",14,-73.9756567,40.7478792,-73.9785952,40.7260601,"yellow",160,"Manhattan","Manhattan"
"Alphabet City","Penn Station/Madison Sq West",18,-73.9880662,40.7433858,-73.9785952,40.7260601,"yellow",350,"Manhattan","Manhattan"
"Alphabet City","Meatpacking/West Village West",18,-74.0085128,40.7406973,-73.9785952,40.7260601,"yellow",100,"Manhattan","Manhattan"
"Alphabet City","Flatiron",14,-73.9896986,40.7410605,-73.9785952,40.7260601,"yellow",170,"Manhattan","Manhattan"
"Alphabet City","Stuy Town/Peter Cooper Village",14,-73.9778494,40.7316903,-73.9785952,40.7260601,"yellow",120,"Manhattan","Manhattan"
"Alphabet City","Stuyvesant Heights",6,-73.9880663,40.7299553,-73.9785952,40.7260601,"yellow",120,"Brooklyn","Manhattan"
"Alphabet City","Midtown Center",22,-73.9784137,40.7553676,-73.9785952,40.7260601,"yellow",380,"Manhattan","Manhattan"
"Alphabet City","East Chelsea",0,-74.0013737,40.7465004,-73.9785952,40.7260601,"yellow",170,"Manhattan","Manhattan"
"Alphabet City","Stuy Town/Peter Cooper Village",18,-73.9778494,40.7316903,-73.9785952,40.7260601,"yellow",260,"Manhattan","Manhattan"
"Alphabet City","East Chelsea",20,-74.0013737,40.7465004,-73.9785952,40.7260601,"yellow",170,"Manhattan","Manhattan"
"Alphabet City","East Village",0,-73.9815337,40.7264773,-73.9785952,40.7260601,"yellow",350,"Manhattan","Manhattan"
"Alphabet City","Stuyvesant Heights",0,-73.9880663,40.7299553,-73.9785952,40.7260601,"yellow",690,"Brooklyn","Manhattan"
"Alphabet City","Greenwich Village North",14,-74.0027418,40.7335719,-73.9785952,40.7260601,"yellow",210,"Manhattan","Manhattan"
"Alphabet City","Stuy Town/Peter Cooper Village",16,-73.9778494,40.7316903,-73.9785952,40.7260601,"yellow",190,"Manhattan","Manhattan"
"Alphabet City","World Trade Center",18,-74.0131196,40.7118011,-73.9785952,40.7260601,"yellow",110,"Manhattan","Manhattan"
"Alphabet City","Union Sq",2,-73.9910835,40.7358633,-73.9785952,40.7260601,"yellow",260,"Manhattan","Manhattan"
"Alphabet City","Union Sq",22,-73.9910835,40.7358633,-73.9785952,40.7260601,"yellow",390,"Manhattan","Manhattan"
"Alphabet City","East Village",8,-73.9815337,40.7264773,-73.9785952,40.7260601,"yellow",130,"Manhattan","Manhattan"
"Alphabet City","Alphabet City",20,-73.9785952,40.7260601,-73.9785952,40.7260601,"yellow",110,"Manhattan","Manhattan"
"Alphabet City","Gramercy",20,-73.9818443,40.7376407,-73.9785952,40.7260601,"yellow",180,"Manhattan","Manhattan"
"Alphabet City","Kips Bay",18,-73.9800645,40.7423292,-73.9785952,40.7260601,"yellow",340,"Manhattan","Manhattan"
"Alphabet City","Meatpacking/West Village West",20,-74.0085128,40.7406973,-73.9785952,40.7260601,"yellow",120,"Manhattan","Manhattan"
"Alphabet City","Kips Bay",12,-73.9800645,40.7423292,-73.9785952,40.7260601,"yellow",190,"Manhattan","Manhattan"
"Alphabet City","Little Italy/NoLiTa",20,-73.9954909,40.7228971,-73.9785952,40.7260601,"yellow",610,"Manhattan","Manhattan"
"Alphabet City","Lenox Hill East",16,-73.9602312,40.7662315,-73.9785952,40.7260601,"yellow",110,"Manhattan","Manhattan"
"Alphabet City","Midtown Center",20,-73.9784137,40.7553676,-73.9785952,40.7260601,"yellow",230,"Manhattan","Manhattan"
"Alphabet City","Seaport",20,-74.006884,40.711197,-73.9785952,40.7260601,"yellow",120,"Manhattan","Manhattan"
"Alphabet City","Greenwich Village North",16,-74.0027418,40.7335719,-73.9785952,40.7260601,"yellow",120,"Manhattan","Manhattan"
"Alphabet City","Midtown East",22,-73.9668408,40.7540369,-73.9785952,40.7260601,"yellow",170,"Manhattan","Manhattan"
"Alphabet City","Garment District",20,-73.9916342,40.7547072,-73.9785952,40.7260601,"yellow",500,"Manhattan","Manhattan"
"Alphabet City","Lower East Side",2,-73.9842724,40.715033,-73.9785952,40.7260601,"yellow",380,"Manhattan","Manhattan"
"Alphabet City","Little Italy/NoLiTa",6,-73.9954909,40.7228971,-73.9785952,40.7260601,"yellow",100,"Manhattan","Manhattan"
"Alphabet City","Garment District",16,-73.9916342,40.7547072,-73.9785952,40.7260601,"yellow",240,"Manhattan","Manhattan"
"Alphabet City","East Elmhurst",20,-73.8713099,40.7737505,-73.9785952,40.7260601,"yellow",110,"Queens","Manhattan"
"Alphabet City","Lenox Hill East",20,-73.9602312,40.7662315,-73.9785952,40.7260601,"yellow",110,"Manhattan","Manhattan"
"Alphabet City","Lower East Side",20,-73.9842724,40.715033,-73.9785952,40.7260601,"yellow",340,"Manhattan","Manhattan"
"Alphabet City","Kips Bay",0,-73.9800645,40.7423292,-73.9785952,40.7260601,"yellow",210,"Manhattan","Manhattan"
"Alphabet City","Lower East Side",16,-73.9842724,40.715033,-73.9785952,40.7260601,"yellow",130,"Manhattan","Manhattan"
"Alphabet City","Chinatown",20,-73.9970307,40.7157509,-73.9785952,40.7260601,"yellow",170,"Manhattan","Manhattan"
"Alphabet City","Little Italy/NoLiTa",10,-73.9954909,40.7228971,-73.9785952,40.7260601,"yellow",300,"Manhattan","Manhattan"
"Alphabet City","Chinatown",0,-73.9970307,40.7157509,-73.9785952,40.7260601,"yellow",120,"Manhattan","Manhattan"
"Alphabet City","Penn Station/Madison Sq West",22,-73.9880662,40.7433858,-73.9785952,40.7260601,"yellow",320,"Manhattan","Manhattan"
"Alphabet City","Midtown East",16,-73.9668408,40.7540369,-73.9785952,40.7260601,"yellow",160,"Manhattan","Manhattan"
"Alphabet City","SoHo",12,-74.0029883,40.723301,-73.9785952,40.7260601,"yellow",110,"Manhattan","Manhattan"
"Alphabet City","Little Italy/NoLiTa",14,-73.9954909,40.7228971,-73.9785952,40.7260601,"yellow",350,"Manhattan","Manhattan"
